iteration	mean	std_dev	min	max	median
2240	66.612	2.635	64.716	72.214	65.128
2250	73.190	2.017	71.806	77.174	71.931
2260	70.881	2.096	67.520	74.401	70.561
2270	71.986	0.150	71.760	72.221	71.976
2280	72.416	0.101	72.201	72.576	72.435
2290	73.621	2.229	71.826	77.206	72.270
2300	76.340	1.994	72.258	77.592	77.227
2310	74.161	3.046	72.473	82.042	72.789
2320	67.234	2.034	63.399	70.644	67.581
2330	71.641	3.244	65.414	76.981	70.855
2340	102.848	5.404	91.466	110.790	103.345
2350	119.032	20.464	75.639	143.539	123.154
2360	70.040	1.655	67.272	71.889	69.902
2370	77.806	0.298	77.044	78.247	77.855
2380	115.971	12.649	102.748	146.735	112.144
2390	140.412	19.587	100.162	166.313	141.823
2400	85.415	4.817	79.777	95.999	84.157
2410	70.098	0.122	69.894	70.318	70.098
2420	64.977	10.697	56.719	95.756	61.374
2430	69.058	2.163	66.712	71.892	68.760
2440	68.559	1.453	67.307	71.952	67.813
2450	71.029	1.422	66.802	71.815	71.522
2460	74.249	3.073	67.558	79.337	74.420
2470	73.023	3.050	68.381	77.811	72.813
2480	74.346	2.425	71.827	76.927	74.352
2490	70.254	4.657	66.211	77.044	66.814
2500	73.749	2.854	69.601	79.527	74.323
2510	81.407	2.493	76.421	84.646	81.043
2520	114.492	9.168	101.268	129.316	116.405
2530	73.733	0.575	72.758	74.574	73.931
2540	74.660	2.245	70.125	77.932	75.158
2550	64.228	2.297	61.216	66.458	65.953
2560	65.728	5.900	59.409	72.651	64.184
2570	65.901	0.104	65.796	66.147	65.881
2580	67.130	2.236	61.938	71.634	67.020
2590	64.641	0.170	64.329	64.833	64.625
2600	77.622	23.559	65.122	143.149	65.499
2610	146.148	35.167	87.204	190.776	151.793
2620	134.173	35.565	96.483	220.097	119.876
2630	90.949	5.833	82.769	100.248	92.239
2640	139.598	29.789	95.417	191.118	142.634
2650	99.927	38.304	70.151	175.753	70.464
2660	98.363	21.008	78.457	145.114	90.302
